incident_name,Date ,Acres,Longitude,Latitude
Mud Fire,2017-08-29T14:36:00Z,6042,-120.22215,40.43962
R-2 Fire,2020-06-23T21:12:11Z,563,-120.28147,40.43203
Bully Fire,2014-07-11T15:37:00Z,12661,-122.750788,40.4314
Hog Fire,2020-07-18T17:28:18Z,9564,-120.86375,40.420886
Point Fire,2023-05-21T17:45:00Z,10,-122.47542,40.417676
Ranch Fire,2019-07-05T14:46:33Z,30,-122.767256,40.41741
China Fire,2015-07-29T17:55:00Z,212,-122.439939,40.415108
Olinda Fire,2020-10-25T14:22:27Z,5,-122.342,40.41486
Trinity Fire,2019-06-26T15:35:00Z,90,-122.66779,40.41404
West Fire,2014-07-01T03:45:00Z,15,-123.24,40.41
Creek Fire,2015-09-09T14:30:00Z,170,-120.553075,40.400196
Center Fire,2015-09-09T14:12:00Z,40,-120.553075,40.400196
Sway Fire,2017-08-01T10:23:00Z,19,-123.57562,40.39799
Spring Fire,2018-06-13T21:06:00Z,70,-122.135924,40.394073
Point Fire,2015-08-03T14:28:00Z,59,-122.40546,40.3929
Willard Fire,2016-09-11T11:33:00Z,2575,-120.7845,40.3915
Fiddler Fire,2014-05-14T14:00:00Z,50,-122.721,40.39
Spring Fire ,2017-06-04T16:22:00Z,78,-122.13088,40.38944
Point Fire (Shasta and Tehama County),2020-10-25T09:56:31Z,275,-122.39033,40.38869
Horse Fire,2019-10-13T14:45:37Z,55,-120.304341,40.387772
Tumbleweed Fire,2018-06-14T17:45:00Z,646,-120.36403,40.3768
Fiddler Fire,2013-07-09T11:59:00Z,43,-122.7338,40.373
Gorge Fire,2018-08-19T07:32:00Z,155,-122.8905556,40.36888889
Fiddler Fire,2016-07-08T22:45:00Z,303,-122.72913,40.36873
North Fire,2020-08-02T16:51:26Z,6882,-120.44811,40.36764
36 Fire,2015-08-08T14:55:00Z,110,-121.7786799,40.3506868
Lane Fire,2018-06-23T11:38:00Z,3392,-121.77867,40.35068
McFarland Fire,2021-07-30T18:44:00Z,122653,-123.034,40.35
Roxie Fire (Formerly 1-1 Fire),2018-07-24T16:02:00Z,167,-120.82497,40.34822
Adams Fire,2018-11-05T10:17:00Z,60,-122.308479,40.346652
Stump Fire,2020-08-01T16:39:21Z,684,-121.6415,40.34659
Wilson Fire,2018-09-28T13:08:00Z,261,-121.43025,40.34256
Dale Fire,2018-07-09T18:30:00Z,856,-121.93908,40.33682
Copper Fire,2018-09-22T14:41:00Z,53,-120.93005,40.33642
Beegum Fire,2020-02-23T08:35:30Z,75,-122.8472222,40.33583333
Bolla Fire,2017-06-18T07:15:00Z,60,-122.83208,40.32063
Jelly Fire,2018-05-18T16:37:00Z,103,-122.21032,40.31759
Hyatt Fire,2018-06-27T15:09:00Z,383,-120.45053,40.316137
Dales Fire,2019-10-07T11:03:29Z,11,-122.070055,40.314187
Hog Fire,2016-09-13T23:10:00Z,321,-122.1295,40.30594
Vestal Fire,2017-08-26T15:03:00Z,40,-122.70449,40.29831
Benson Fire,2017-07-08T18:58:00Z,29,-122.42606,40.29118
View Fire ,2021-10-11T14:35:42Z,24,-122.436754,40.287225
Frank Fire,2023-06-15T14:06:00Z,32,-122.5955,40.2869
Tuscan Fire,2018-07-15T17:15:00Z,50,-122.11375,40.27754
Blocksburg Fire,2017-08-03T16:41:00Z,30,-123.64281,40.27582
Sheep Fire ,2020-08-22T22:02:57Z,29570,-120.757,40.274
Freeway Fire,2017-10-08T12:15:00Z,10,-122.255,40.24789
Buck Fire,2017-09-12T17:42:00Z,13417,-123.03583,40.2275
Sun Fire,2018-10-07T12:51:00Z,3889,-122.18,40.22027778
Plymire Fire,2018-06-01T16:07:00Z,23,-122.29388,40.201826
36 Fire,2017-10-03T16:22:00Z,20,-122.24731,40.20077
Baker Fire,2016-08-03T17:27:00Z,80,-122.26736,40.19611
Panther Fire,2013-05-01T09:12:00Z,6896,-121.595555,40.190062
Moonlight RX,2022-04-09T17:55:59Z,,-120.4849,40.18494
Stoll Fire,2018-06-23T12:52:00Z,268,-122.27574,40.18395
Evans Fire,2021-07-29T19:14:42Z,85,-120.8468224,40.183504
Ruth Complex,2017-08-07T22:30:00Z,4736,-123.36882,40.17598
Cannon Fire,2021-07-14T15:18:48Z,43,-122.64768,40.1703
Live Fire,2017-07-28T13:24:00Z,57,-122.3209,40.1583
Wilder Fire,2022-05-24T11:27:12Z,90,-122.275649,40.150329
Campbell Fire,2014-01-02T20:00:00Z,865,-121.790183,40.134597
Mills File,2017-09-03T20:32:00Z,79,-120.9204,40.13278
Sierra Fire,2018-06-23T13:15:00Z,170,-122.19792,40.12791
Red Bank Fire,2019-09-05T13:19:56Z,8836,-122.64,40.12
Saw Fire,2017-08-03T11:58:00Z,85,-123.76099,40.11794
Buck Fire,2015-07-28T17:19:00Z,16,-123.774,40.1093
South Fire,2019-09-05T19:59:46Z,5332,-122.789,40.109
Dairy Fire,2021-06-15T18:59:10Z,165,-122.16025,40.10806
Horse Fire,2015-08-18T18:30:00Z,146,-124.0720419,40.1058823
Paskenta Fire,2017-06-24T11:15:00Z,42,-122.27379,40.10282
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,2020-08-17T09:12:42Z,19609,-122.4393,40.09571
Red Fire ,2020-04-23T20:52:04Z,26,-122.43905,40.09554
Flores Fire,2016-07-01T13:54:00Z,88,-122.2071,40.07846
Soda Fire,2017-09-28T14:46:00Z,143,-121.56858,40.07613
Doyle Fire,2019-07-14T14:02:31Z,193,-120.158273,40.072739
Long Valley Fire,2017-07-11T14:15:00Z,83733,-120.14013,40.07045
Henthorne Fire,2019-09-05T09:25:00Z,244,-123.222196,40.062304
Walker Fire,2019-09-04T15:17:31Z,54612,-120.680556,40.061389
Ward Fire,2015-04-13T05:30:00Z,137,-120.7016667,40.05083333
Graham Fire,2022-06-10T11:51:07Z,100,-121.776,40.05
Deer Fire,2013-08-23T14:15:00Z,11429,-121.85397,40.04263
Sky Fire,2021-06-27T17:49:34Z,76,-121.406,40.039
Miller Fire,2017-08-31T13:57:00Z,34,-123.64214,40.03697
Slide 1 Fire,2023-08-16T08:35:57Z,,-122.855,40.036944
Ranch Fire,2019-11-03T14:16:17Z,2534,-122.637837,40.036379
Colyear Fire,2016-06-30T13:32:00Z,464,-122.56939,40.0353
River Fire,2017-06-04T16:12:00Z,67,-120.1064,40.03392
Tehama Fire,2017-10-26T20:00:00Z,194,-121.91425,40.02261
Fork Fire,2015-06-17T12:50:00Z,55,-122.552,40.0133
Vina Fire,2013-07-04T07:30:00Z,200,-122.079871,40.012398
Rainbow Fire,2022-07-16T13:05:00Z,60,-122.433855,40.010233
Tehama Fire,2014-06-13T12:23:00Z,225,-122.345078,40.009827
Rancho Fire,2022-06-13T16:16:00Z,593,-122.45621,40.00919
Plumas Lightning Complex (Hough),2013-08-18T18:30:00Z,513,-120.764666,40.00842
Lariat Fire,2018-07-14T20:40:00Z,33,-122.44008,40.00293
Rawson Fire,2019-10-27T02:47:20Z,605,-122.25421,40.00171
Gyle Fire,2020-06-17T16:39:25Z,68,-122.205628,40.000132
Cow Fire,2016-09-25T07:15:00Z,100,-121.93923,40
Fork Fire,2021-07-17T17:40:13Z,43,-122.55195,39.999396
Murphy Fire,2018-08-07T02:11:00Z,117,-121.27,39.996944
