case_id,t_model,t_cap,Longitude,Latitude
3068923,GE1.5-70.5,1500,-102.72258,37.687588
3050330,V100-2.0,2000,-102.722313,35.321476
3057140,GE2.0-116,2100,-102.722145,46.589314
3050307,V100-2.0,2000,-102.722069,35.298183
3050290,V100-2.0,2000,-102.721107,35.281464
3050329,V100-2.0,2000,-102.721069,35.316765
3050348,V100-2.0,2000,-102.72081,35.332855
3068924,GE1.5-70.5,1500,-102.719604,37.686359
3050306,V100-2.0,2000,-102.71946,35.297066
3051987,GE2.4-107,2400,-102.71904,34.723713
3050288,V100-2.0,2000,-102.718582,35.280266
3050328,V100-2.0,2000,-102.718575,35.315495
3050347,V100-2.0,2000,-102.718323,35.331703
3055917,,0,-102.717171,40.035072
3086097,V126-3.45,3450,-102.71711,34.061897
3055918,,0,-102.716949,40.037548
3068925,GE1.5-70.5,1500,-102.716476,37.686356
3050305,V100-2.0,2000,-102.716469,35.295673
3050327,V100-2.0,2000,-102.71608,35.314236
3050346,V100-2.0,2000,-102.715813,35.330524
3050287,V100-2.0,2000,-102.715614,35.278824
3052282,GE2.4-107,2400,-102.714836,34.73983
3068936,GE1.5-70.5,1500,-102.714806,37.675201
3051988,GE2.4-107,2400,-102.714561,34.719578
3057136,GE2.0-116,2100,-102.71389,46.609097
3050326,V100-2.0,2000,-102.713661,35.313004
3050304,V100-2.0,2000,-102.713554,35.294365
3064558,GE1.5-70.5,1500,-102.713402,37.686356
3050345,V100-2.0,2000,-102.713081,35.329823
3050286,V100-2.0,2000,-102.712463,35.277309
3056911,GE2.0-116,2100,-102.712318,46.573952
3050325,V100-2.0,2000,-102.711243,35.311783
3086442,V126-3.45,3450,-102.710991,34.061489
3051997,GE2.4-107,2400,-102.710838,34.700729
3051962,GE2.4-107,2400,-102.710762,34.739021
3051989,GE2.4-107,2400,-102.710686,34.718403
3050343,V100-2.0,2000,-102.710579,35.328606
3050303,V100-2.0,2000,-102.710571,35.293026
3121681,GE1.6-91,1600,-102.710388,37.674458
3121638,GE1.6-91,1600,-102.710335,37.686367
3050324,V100-2.0,2000,-102.708809,35.310555
