incident_name,Date ,Acres,Longitude,Latitude
Open Fire,2018-06-01T15:20:00Z,127,-122.65582,39.46543
Yellow Fire,2013-05-01T02:01:00Z,125,-122.655616,38.638828
Point Fire,2022-08-20T19:26:17Z,14,-122.6556,38.9494
Crane Fire,2013-10-04T12:25:00Z,159,-122.6503,38.34599
Highland Fire,2018-07-20T13:26:00Z,63,-122.649626,40.741186
Cannon Fire,2021-07-14T15:18:48Z,43,-122.64768,40.1703
Sulphur Fire (Mendocino Lake Complex),2017-10-09T23:59:00Z,2207,-122.64543,39.01387
King Fire,2017-06-26T12:30:00Z,19,-122.645079,40.703775
Glass Fire,2019-09-04T16:26:00Z,28,-122.642572,38.910498
Pressley Fire (Central LNU Complex),2017-10-09T01:30:00Z,0,-122.64001,38.36685
Red Bank Fire,2019-09-05T13:19:56Z,8836,-122.64,40.12
Ranch Fire,2019-11-03T14:16:17Z,2534,-122.637837,40.036379
Catholic Fire,2020-09-01T17:34:38Z,13,-122.637037,39.012743
Muir Fire,2019-10-24T12:15:33Z,67,-122.636471,37.896231
Rams Horn Fire,2019-09-07T08:49:58Z,280,-122.634108,41.150392
Tubbs Fire (Central LNU Complex),2017-10-08T21:45:00Z,36807,-122.62879,38.60895
Mountain Fire ,2022-09-02T15:48:00Z,13440,-122.627469,41.459009
Ridge Fire,2023-08-04T14:45:00Z,28,-122.624538,40.735974
Murphy Fire,2017-07-17T14:44:00Z,40,-122.62382,38.86056
Carr Fire,2018-07-23T13:15:00Z,229651,-122.62357,40.65428
Lassen Fire,2021-09-01T14:27:00Z,44,-122.6131992,38.0591827
Grade Fire,2016-08-24T14:55:00Z,710,-122.611,41.7813
Clayton Fire,2016-08-13T18:03:00Z,3929,-122.60664,38.89741
Grove Fire,2019-10-17T20:06:00Z,25,-122.604425,38.88913
Creek Fire,2023-09-06T15:30:00Z,28,-122.601667,38.903333
Cache Fire,2021-08-18T12:34:00Z,83,-122.601395,38.928133
Pawnee Fire,2018-06-23T17:21:00Z,15180,-122.59848,39.0674
Indian Fire,2014-05-25T12:20:00Z,175,-122.5983,39.1647
Spring 2 Fire,2018-07-09T16:46:00Z,80,-122.59789,39.06715
Frank Fire,2023-06-15T14:06:00Z,32,-122.5955,40.2869
Bailey Fire,2016-07-19T14:09:00Z,26,-122.59328,41.96191
Indian Fire,2013-08-07T12:35:00Z,38,-122.5906,39.1591
Chrome Fire,2018-05-28T17:33:00Z,75,-122.58666,39.65578
Chrome Fire,2018-06-09T15:32:00Z,2290,-122.58218,39.64978
Dam Fire,2013-11-23T14:17:00Z,23,-122.5818,38.9289
Oakmont Fire (Central LNU Complex),2017-10-14T20:35:00Z,100,-122.58152,38.46123
Coyote Fire,2021-08-13T00:00:00Z,127,-122.581257,38.826123
Cottonwood Fire,2013-08-15T14:40:00Z,50,-122.578393,41.923323
Ridge Fire,2017-10-06T14:38:00Z,87,-122.576,39.15016
Cache Fire,2018-08-26T18:04:00Z,103,-122.57496,39.02017
Long Fire,2017-10-14T05:00:00Z,100,-122.57487,39.0199
Redwood Fire,2022-06-27T16:27:00Z,113,-122.574563,38.163521
Colyear Fire,2016-06-30T13:32:00Z,464,-122.56939,40.0353
Cantwell Fire,2013-11-08T13:42:00Z,120,-122.567525,38.882214
Zogg Fire,2020-09-27T16:03:27Z,56338,-122.56656,40.53927
306 Fire,2013-05-01T19:00:00Z,217,-122.560862,39.514139
Fork Fire,2015-06-17T12:50:00Z,55,-122.552,40.0133
Fork Fire,2021-07-17T17:40:13Z,43,-122.55195,39.999396
Burrows Fire ,2022-06-28T13:09:03Z,317,-122.55002,39.713372
Lakeville Fire,2020-06-05T16:56:55Z,141,-122.549816,38.224849
Lower Fire,2019-08-12T14:16:53Z,46,-122.54364,40.46968
Paskenta Fire ,2017-08-10T17:24:00Z,15,-122.5415,39.87983
Gulch Fire,2020-06-06T16:19:20Z,107,-122.536406,38.216134
Clover Fire,2013-09-09T12:32:00Z,8073,-122.535496,40.498332
Klamathon Fire,2018-07-05T12:31:00Z,38008,-122.534655,41.893332
Grade Fire,2015-08-24T12:12:00Z,22,-122.53428,38.831478
South Fire,2018-06-09T14:45:00Z,175,-122.5275,37.97638
Mission Fire,2018-06-09T15:30:00Z,12,-122.5275,37.97638
Stony Fire,2023-07-18T14:48:00Z,89,-122.5259,39.6685
Walker Fire,2015-09-11T15:08:00Z,109,-122.52541,40.47512
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017-10-09T22:00:00Z,44573,-122.5209,38.4041
Sky Fire,2021-04-29T12:44:00Z,65,-122.5177156,38.88437128
Tower Fire,2018-10-14T06:45:00Z,12,-122.51597,40.49618
Mule Fire,2021-08-25T00:00:00Z,10,-122.514391,40.616416
Ager Fire,2018-05-19T13:04:00Z,27,-122.513883,41.791859
Lakeville Fire,2013-07-26T13:45:00Z,158,-122.51253,38.17693
Stony Fire,2018-07-04T13:14:00Z,75,-122.512012,39.2976
House Fire,2021-08-04T00:00:00Z,60,-122.506112,40.604986
Reservoir Fire,2016-06-26T16:00:00Z,215,-122.50373,39.12366
Cooley Fire,2015-07-13T17:56:00Z,181,-122.5029,41.8048
4-8 Fire,2020-08-17T14:16:58Z,275,-122.5012461,39.555943
Glass Fire,2020-09-27T08:48:00Z,67484,-122.49745,38.56295
Eagle Fire,2019-11-05T06:52:14Z,75,-122.496548,39.100408
Mule Fire,2017-09-05T14:55:00Z,21,-122.49327,39.01748
Double Fire,2013-08-16T17:57:00Z,70,-122.491894,39.013682
Rock Fire,2021-06-15T17:14:55Z,108,-122.49164,40.61468
Jerusalem Fire,2015-08-09T15:34:00Z,25118,-122.4867319,38.8142503
Shastina Fire,2018-05-09T18:11:00Z,127,-122.48556,41.65935
Sites Fire ,2020-08-02T17:13:36Z,560,-122.48525,39.31313
Hiding Fire,2021-08-01T00:00:00Z,50,-122.482826,40.466364
Paskenta Fire,2019-06-22T03:12:00Z,46,-122.48277,39.97083
Cloverdale Fire,2013-08-14T15:37:00Z,27,-122.48259,40.473356
Pine Fire,2021-06-23T13:42:00Z,50,-122.481055,40.475558
Creek Fire,2018-06-16T14:04:00Z,32,-122.476381,38.886518
Rocky Fire,2015-07-29T15:29:00Z,69636,-122.4762475,38.8863538
Point Fire,2023-05-21T17:45:00Z,10,-122.47542,40.417676
37 Fire,2017-10-09T14:00:00Z,1660,-122.47301,38.14242
Steamboat Fire,2018-07-15T09:58:00Z,224,-122.47293,41.70877
Ink Fire,2019-06-08T14:37:00Z,50,-122.47282,38.63047
Mountain Fire,2016-08-09T12:14:00Z,35,-122.47091,40.61213
Keswick Fire,2016-06-11T16:02:00Z,24,-122.46777,40.61388
Lodoga Fire,2023-07-16T21:46:00Z,22,-122.466,39.2694
Whitepine Fire,2017-06-06T16:38:00Z,46,-122.4571,41.8721
Rancho Fire,2022-06-13T16:16:00Z,593,-122.45621,40.00919
Butts Fire,2014-07-01T12:08:00Z,4300,-122.454,38.664
Snell Fire,2018-09-08T14:29:00Z,2490,-122.44468,38.69601
Pallet Fire,2018-06-05T13:03:00Z,10,-122.44408,38.245151
Lariat Fire,2018-07-14T20:40:00Z,33,-122.44008,40.00293
China Fire,2015-07-29T17:55:00Z,212,-122.439939,40.415108
Keswick Fire,2015-07-07T12:34:00Z,18,-122.4397,40.5953
Iron Gate Fire,2018-10-10T21:50:00Z,15,-122.43933,41.94046
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,2020-08-17T09:12:42Z,19609,-122.4393,40.09571
Red Fire ,2020-04-23T20:52:04Z,26,-122.43905,40.09554
Snell Fire,2023-06-16T17:36:16Z,103,-122.4379,38.6994
View Fire ,2021-10-11T14:35:42Z,24,-122.436754,40.287225
Laverne Fire,2017-07-18T12:39:00Z,180,-122.43608,40.47106
Horse Fire,2019-07-12T19:08:54Z,30,-122.435492,40.463936
Rainbow Fire,2022-07-16T13:05:00Z,60,-122.433855,40.010233
Creek Fire,2016-10-10T16:13:00Z,65,-122.43172,38.40958
Delta Fire,2018-09-05T12:51:00Z,63311,-122.43,40.9425
Elk Fire,2020-08-16T10:14:46Z,727,-122.427358,39.52452
Chestnut Fire,2013-09-07T13:55:00Z,41,-122.427285,37.667295
Benson Fire,2017-07-08T18:58:00Z,29,-122.42606,40.29118
Creek Fire,2018-06-24T12:29:00Z,1678,-122.42308,40.50318
Fremont Fire,2021-09-22T14:25:00Z,116,-122.416983,38.269863
Lake Fire,2016-09-10T15:45:00Z,75,-122.4096,40.68192
Flanagan Fire ,2022-03-04T10:31:00Z,88,-122.4073,40.67671
Point Fire,2015-08-03T14:28:00Z,59,-122.40546,40.3929
Spanish Fire ,2020-05-22T15:27:09Z,20,-122.403634,38.697834
IronGate Fire,2019-06-16T20:33:00Z,10,-122.40157,41.94622
