Permit_Address,Street_Name,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Latitude,Longitude
1125 MARIPOSA ST,MARIPOSA ST,94107,Linea Caffe,Shared Spaces,11/5/2024,3/15/2025,37.7638183912079,-122.395187917674
759 COLUMBUS AVE,COLUMBUS AVE,94133,Luisa Ristorante Inc,Shared Spaces,11/4/2024,3/15/2025,37.801619297634,-122.412315312941
537 OCTAVIA ST,OCTAVIA ST,94102,Wise Sons Deli,Shared Spaces,11/18/2023,3/15/2025,37.7772832377933,-122.424884629305
324 DIVISADERO ST,DIVISADERO ST,94117,THAT'S MY JAM,Shared Spaces,11/18/2023,3/15/2025,37.7726314117358,-122.437135746441
2448 CLEMENT ST,CLEMENT ST,94121,Hard Knox Cafe,Shared Spaces,11/15/2024,3/15/2025,37.7822272260625,-122.485746865563
2162 LARKIN ST,GREEN ST,94109,Amarena,Shared Spaces,11/1/2024,3/15/2025,37.797692884133,-122.420380799726
1000 COLE ST,COLE ST,94117,La Boulangerie de San Francisco,Shared Spaces,11/1/2024,3/15/2025,37.7647688404046,-122.449454400553
520 GOUGH ST,GOUGH ST,94102,Dragoneats,Shared Spaces,10/7/2024,3/15/2025,37.7784213380733,-122.422926714052
3115 FILLMORE ST,FILLMORE ST,94123,Tacko,Shared Spaces,10/31/2024,3/15/2025,37.7982558423652,-122.43590230824
770 STANYAN ST,STANYAN ST,94117,KEZAR PUB,Shared Spaces,10/31/2024,3/15/2025,37.7678664227896,-122.453090391383
4063 24TH ST,24TH ST,94114,TACO CHICO LLC,Shared Spaces,10/31/2024,3/15/2025,37.7512259807764,-122.4332469641
150 GOLDEN GATE AVE,GOLDEN GATE AVE,,ST ANTHONY FOUNDATION INC,Shared Spaces,10/24/2023,3/15/2025,37.7820639493441,-122.413175069707
4542 IRVING ST,IRVING ST,94122,Hook Fish Company,Shared Spaces,10/21/2024,3/15/2025,37.7623055989973,-122.50652560641
735 JACKSON ST,JACKSON ST,94133,House Of Dim Sum,Shared Spaces,10/21/2024,3/15/2025,37.7958535053879,-122.40721943397
725 COLUMBUS AVE,COLUMBUS AVE,94133,"Piccolo Forno, Inc.",Shared Spaces,10/2/2024,3/15/2025,37.8013668901647,-122.412052405545
737 IRVING ST,IRVING ST,94122,SUPER DUPER,Shared Spaces,10/15/2024,3/15/2025,37.7639173995849,-122.465899855871
330 ELLIS ST,ELLIS ST,94102,Glide Foundation,Shared Spaces,10/11/2023,3/15/2025,37.7851177965262,-122.411675820203
2300 CHESTNUT ST,SCOTT ST,94123,Ristobar,Shared Spaces,1/9/2024,3/15/2025,37.8002922497265,-122.441477331685
150 GOLDEN GATE AVE,GOLDEN GATE AVE,94102,ST ANTHONY FOUNDATION INC,Shared Spaces,1/26/2024,3/15/2025,37.7820639493441,-122.413175069707
150 GOLDEN GATE AVE,GOLDEN GATE AVE,,ST ANTHONY FOUNDATION INC,Shared Spaces,1/26/2024,3/15/2025,37.7820639493441,-122.413175069707
819 VALENCIA ST,VALENCIA ST,94110,Golla,Shared Spaces,1/13/2023,3/15/2025,37.7597583499522,-122.421211106005
2136 UNION ST,UNION ST,94123,il casaro pizzeria & mozzarella bar,Shared Spaces,1/11/2024,3/15/2025,37.7973508324073,-122.434532991249
